Domain,Condition,Paradigm_Shifts,Avg_Significance,Breakthrough_Alignment,Filtering_Effectiveness,Execution_Time
natural_language_processing,No_Filtering,8,0.8624999999999999,100.0,0.9312499999999999,0.11750006675720215
natural_language_processing,Pattern_Only,13,0.46923076923076934,61.53846153846154,0.5423076923076924,0.14235496520996094
natural_language_processing,Breakthrough_Only,13,0.653846153846154,61.53846153846154,0.6346153846153847,0.1544480323791504
natural_language_processing,Full_Filtering,8,0.8624999999999999,100.0,0.9312499999999999,0.17340397834777832
deep_learning,No_Filtering,9,0.8222222222222222,88.88888888888889,0.8555555555555555,0.10932707786560059
deep_learning,Pattern_Only,9,0.48888888888888893,88.88888888888889,0.6888888888888889,0.19888901710510254
deep_learning,Breakthrough_Only,9,0.7555555555555555,88.88888888888889,0.8222222222222222,0.1790778636932373
deep_learning,Full_Filtering,9,0.8222222222222222,88.88888888888889,0.8555555555555555,0.20157289505004883
computer_vision,No_Filtering,9,0.8222222222222223,77.77777777777779,0.8,0.11037898063659668
computer_vision,Pattern_Only,9,0.5222222222222224,77.77777777777779,0.6500000000000001,0.20457911491394043
computer_vision,Breakthrough_Only,9,0.7555555555555555,77.77777777777779,0.7666666666666667,0.18602585792541504
computer_vision,Full_Filtering,9,0.8222222222222223,77.77777777777779,0.8,0.18456506729125977
machine_learning,No_Filtering,18,0.7333333333333333,66.66666666666666,0.7,0.12517571449279785
machine_learning,Pattern_Only,18,0.4666666666666667,66.66666666666666,0.5666666666666667,0.16184401512145996
machine_learning,Breakthrough_Only,18,0.6666666666666665,66.66666666666666,0.6666666666666665,0.16872382164001465
machine_learning,Full_Filtering,18,0.7333333333333333,66.66666666666666,0.7,0.19458293914794922
machine_translation,No_Filtering,2,0.7999999999999999,100.0,0.8999999999999999,0.033464908599853516
machine_translation,Pattern_Only,2,0.4,100.0,0.7,0.0415499210357666
machine_translation,Breakthrough_Only,2,0.7,100.0,0.85,0.051380157470703125
machine_translation,Full_Filtering,2,0.7999999999999999,100.0,0.8999999999999999,0.04806804656982422
computer_science,No_Filtering,18,0.7944444444444443,72.22222222222221,0.7583333333333332,0.08709192276000977
computer_science,Pattern_Only,21,0.4476190476190477,61.904761904761905,0.5333333333333334,0.09934020042419434
computer_science,Breakthrough_Only,21,0.6333333333333332,61.904761904761905,0.6261904761904762,0.107208251953125
computer_science,Full_Filtering,18,0.7944444444444443,72.22222222222221,0.7583333333333332,0.10697698593139648
art,No_Filtering,21,0.7190476190476188,95.23809523809523,0.8357142857142855,0.039170026779174805
art,Pattern_Only,28,0.41071428571428586,71.42857142857143,0.5625000000000001,0.057533979415893555
art,Breakthrough_Only,28,0.6249999999999999,71.42857142857143,0.6696428571428571,0.08292078971862793
art,Full_Filtering,21,0.7190476190476188,95.23809523809523,0.8357142857142855,0.0618741512298584
applied_mathematics,No_Filtering,18,0.7277777777777776,83.33333333333334,0.7805555555555556,0.035466909408569336
applied_mathematics,Pattern_Only,31,0.4064516129032259,48.38709677419355,0.44516129032258067,0.05023598670959473
applied_mathematics,Breakthrough_Only,31,0.5516129032258064,48.38709677419355,0.5177419354838709,0.05589795112609863
applied_mathematics,Full_Filtering,18,0.7277777777777776,83.33333333333334,0.7805555555555556,0.053897857666015625
